Crop,Season,State,Area,Annual_Rainfall,Fertilizer,Pesticide,Yield
Chilli,Rabi,Madurai,4581,973.6,798372,3837,1.08
Cotton,Kharif,Salem,61527,529.4,4214277,11307,0.87
Greengram,Kharif,Kodaikanal,5375,956.2,687101,100,0.4
Greengram,Kharif,Virudhunagar,8738,504.6,192307,1982,0.25
Rice,Kharif,Attur,12478,1073.1,2610038,4335,2.05
Chickpea,Rabi,Rajapalayam,12366,571.5,492968,868,1.13
Millet,Kharif,Kodaikanal,12502,827.3,1745822,2056,1.33
Groundnut,Kharif,Dindigul,18456,949.9,3036502,3004,2.56
Chilli,Rabi,Sivakasi,7503,667.4,1110551,8264,2.43
Sugarcane,Whole Year,Karur,11887,1285.2,3654143,13015,68.11
Sorghum,Kharif,Karur,6036,566.3,677904,100,1.47
Millet,Kharif,Kodaikanal,6290,857.9,949051,2277,1.47
Coffee,Whole Year,Karur,254,1598.2,579952,1472,0.94
Sorghum,Rabi,Madurai,10679,544.2,1307711,3153,1.18
Turmeric,Kharif,Theni,6708,1117.7,2115456,1763,4.66
Chilli,Rabi,Namakkal,4224,766.8,1419047,1260,2.87
Cotton,Kharif,Attur,68468,889.4,3270379,8015,2.03
Greengram,Kharif,Theni,2088,759.7,437529,491,0.66
Sesame,Kharif,Sivakasi,6736,646.4,707060,556,0.71
Sesame,Kharif,Attur,488,430.3,180036,100,0.49
Groundnut,Kharif,Sivakasi,56965,842.9,4178704,16999,1.8
Sugarcane,Whole Year,Salem,57298,1453.0,5522826,18774,52.5
Sesame,Kharif,Dindigul,8908,497.0,315755,669,0.62
Coffee,Whole Year,Madurai,3860,1380.6,1376074,2788,1.47
Coffee,Whole Year,Sivakasi,1821,1195.2,1044833,531,1.41
Greengram,Kharif,Kodaikanal,5735,952.9,493836,1868,0.33
Coconut,Whole Year,Dindigul,43616,763.6,4525283,2318,4.34
Rice,Rabi,Rajapalayam,20962,751.3,1555302,10431,2.01
Greengram,Kharif,Namakkal,1112,404.5,187573,211,0.41
Mango,Whole Year,Namakkal,4261,1156.9,1583685,4500,7.7
Blackgram,Rabi,Dindigul,13986,654.5,1160383,1748,0.91
Blackgram,Rabi,Attur,15539,545.7,1599402,2058,0.97
Sorghum,Kharif,Attur,6945,648.5,980307,3406,1.34
Tapioca,Whole Year,Theni,10023,1330.6,1619010,2089,34.52
Chickpea,Rabi,Salem,13361,842.0,1189390,533,0.76
Blackgram,Rabi,Namakkal,5650,593.6,291776,2382,0.64
Maize,Kharif,Namakkal,34980,870.4,1050078,2864,3.33
Maize,Kharif,Karur,20624,664.1,1216122,3392,2.66
Blackgram,Rabi,Rajapalayam,2088,630.7,472916,1327,0.6
Chilli,Kharif,Rajapalayam,9734,753.0,2532518,6070,2.73
Greengram,Kharif,Madurai,2408,791.4,120548,1268,0.49
Tapioca,Whole Year,Sivakasi,2482,757.0,813725,3093,22.68
Sesame,Kharif,Rajapalayam,9194,469.8,705397,3273,0.29
Tapioca,Whole Year,Palani,26862,1105.5,2823297,4752,28.48
Pigeonpea,Kharif,Karur,9343,871.0,993772,2849,0.43
Greengram,Kharif,Kodaikanal,12747,992.9,1222948,4135,0.56
Pigeonpea,Kharif,Karur,10713,629.4,810333,1031,0.6
Sesame,Kharif,Attur,7830,403.7,405234,1575,0.61
Groundnut,Kharif,Sivakasi,58774,648.2,1590275,14429,2.19
Maize,Kharif,Namakkal,29818,1046.2,2223765,2611,2.04
Blackgram,Rabi,Madurai,236,569.1,510668,1756,0.75
Millet,Kharif,Karur,24244,540.1,1221791,1313,0.64
Cotton,Kharif,Rajapalayam,67569,751.2,5692603,16129,2.09
Groundnut,Kharif,Attur,23468,934.2,2160617,9316,2.0
Coffee,Whole Year,Namakkal,2645,1154.6,1252947,1103,0.91
Chickpea,Rabi,Virudhunagar,425,637.6,548326,100,0.6
Maize,Rabi,Salem,17070,769.1,1052145,8413,1.66
Pomegranate,Whole Year,Salem,832,568.8,262127,920,5.34
Groundnut,Rabi,Virudhunagar,6104,671.9,2465235,6225,2.44
Blackgram,Rabi,Sivakasi,14773,780.6,1558214,3169,0.83
Millet,Kharif,Salem,20213,601.1,1537880,1548,0.77
Cotton,Kharif,Namakkal,44971,603.0,2680697,17757,1.44
Sorghum,Kharif,Salem,10770,514.6,269237,3760,0.68
Millet,Kharif,Madurai,18752,666.3,644558,2448,0.94
Sorghum,Rabi,Madurai,12943,772.0,1228701,1946,1.15
Cotton,Kharif,Virudhunagar,29187,690.1,2777628,13258,1.48
Chickpea,Rabi,Karur,5391,724.3,729653,149,0.66
Papaya,Whole Year,Virudhunagar,6168,1173.2,1169276,4449,27.58
Rice,Rabi,Virudhunagar,55554,1261.7,6609657,12378,2.6
Blackgram,Rabi,Palani,15176,1036.4,491251,2388,0.48
Turmeric,Kharif,Sivakasi,12285,1162.6,2172020,7650,2.75
Blackgram,Rabi,Virudhunagar,11438,560.1,688445,1643,0.62
Papaya,Whole Year,Kodaikanal,7233,1192.0,559791,3044,29.87
Chilli,Rabi,Namakkal,6833,649.5,602946,1986,1.02
Banana,Whole Year,Namakkal,27091,1209.7,4412299,14436,28.66
Turmeric,Kharif,Sivakasi,6712,957.7,1325673,6132,4.07
Blackgram,Rabi,Karur,2209,679.3,605810,559,0.8
Blackgram,Rabi,Virudhunagar,7778,720.6,1231559,2717,0.6
Turmeric,Kharif,Sivakasi,2530,1199.6,1198214,3837,3.25
Banana,Whole Year,Kodaikanal,23219,1254.2,3464475,4597,23.13
Pigeonpea,Kharif,Attur,6719,942.6,225525,1955,0.89
Pomegranate,Whole Year,Karur,4555,612.0,898001,5308,6.3
Sorghum,Rabi,Kodaikanal,4385,905.0,879395,2091,0.67
Sesame,Kharif,Palani,5412,572.1,464796,2690,0.61
Millet,Kharif,Theni,4411,1109.1,238681,229,1.68
Turmeric,Kharif,Dindigul,13239,826.5,947440,5626,3.19
Turmeric,Kharif,Rajapalayam,7220,932.0,1230931,5081,3.21
Blackgram,Rabi,Karur,16156,527.6,1517073,3130,0.89
Pomegranate,Whole Year,Madurai,4425,508.6,494350,459,5.7
Chilli,Rabi,Rajapalayam,4182,544.6,1291919,4244,2.62
Mango,Whole Year,Madurai,16449,671.5,697957,7816,6.91
Coconut,Whole Year,Dindigul,38652,1045.1,1839365,9933,3.87
Maize,Kharif,Virudhunagar,26343,643.8,3242675,9440,1.5
Millet,Kharif,Theni,9495,899.0,778583,4016,1.4
Blackgram,Rabi,Rajapalayam,5106,624.2,726750,936,0.46
Mango,Whole Year,Karur,34247,777.7,4052299,3621,8.18
Millet,Kharif,Salem,17642,661.4,1001562,5024,1.31
Maize,Kharif,Dindigul,20199,1100.2,2814103,3704,2.04
Coconut,Whole Year,Karur,40058,1266.5,4472376,4275,5.21
Coffee,Whole Year,Theni,2038,1661.0,1099997,999,1.32
Pigeonpea,Kharif,Kodaikanal,6629,1209.9,280650,1526,0.69
Banana,Whole Year,Attur,49760,953.9,7232014,21103,18.51
Groundnut,Kharif,Dindigul,29539,613.0,979202,7497,1.27
Cotton,Kharif,Kodaikanal,19603,646.1,2489720,3817,0.78
Blackgram,Rabi,Virudhunagar,9365,538.8,494729,1919,0.35
Pomegranate,Whole Year,Sivakasi,1326,611.3,371234,2107,8.37
Pigeonpea,Kharif,Namakkal,4758,820.0,303444,1343,0.67
Mango,Whole Year,Virudhunagar,4987,547.5,1578198,4839,5.93
Pigeonpea,Kharif,Namakkal,11204,663.5,705957,1139,0.3
Coffee,Whole Year,Salem,3432,928.8,490789,1999,0.57
Groundnut,Rabi,Namakkal,20369,474.5,2822273,4508,2.16
Turmeric,Kharif,Palani,7631,1393.8,1452667,4422,2.8
Sugarcane,Whole Year,Palani,44125,1254.6,8714429,17025,47.77
Pomegranate,Whole Year,Palani,1003,711.1,149548,194,9.27
Coffee,Whole Year,Salem,4572,1142.3,1126595,4219,0.97
Maize,Kharif,Namakkal,29523,774.9,2230458,3913,2.38
Blackgram,Rabi,Kodaikanal,16112,897.5,398344,704,0.61
Maize,Kharif,Rajapalayam,29879,1002.4,2105982,10877,2.65
Papaya,Whole Year,Salem,1372,1257.1,234809,2998,36.17
Chickpea,Rabi,Dindigul,15346,510.4,1204248,1073,1.04
Banana,Whole Year,Kodaikanal,33931,1552.1,4281752,6122,19.61
Banana,Whole Year,Palani,36924,1483.3,4904525,18146,26.91
Cotton,Kharif,Kodaikanal,13221,983.5,3377858,10661,1.44
Millet,Kharif,Madurai,22219,753.8,1624712,4249,0.97
Mango,Whole Year,Namakkal,6687,592.8,1421149,4208,2.53
Papaya,Whole Year,Dindigul,5296,884.1,1803385,3485,26.15
Sugarcane,Whole Year,Dindigul,29658,1370.3,7174010,18279,70.77
Papaya,Whole Year,Dindigul,1418,801.5,607267,1566,28.01
Pomegranate,Whole Year,Theni,3127,761.4,259414,3673,8.78
Greengram,Kharif,Karur,3194,735.5,151874,1929,0.46
Sugarcane,Whole Year,Namakkal,91165,1030.5,5821567,19509,60.82
Groundnut,Rabi,Theni,33899,664.0,3456229,13386,1.09
Mango,Whole Year,Palani,2545,1022.2,405272,1556,6.83
Papaya,Whole Year,Sivakasi,2655,1219.2,239521,4567,22.95
Rice,Kharif,Attur,4802,1186.6,2554655,1915,2.92
Chilli,Kharif,Namakkal,9483,551.0,2190094,3185,1.9
Millet,Kharif,Rajapalayam,25393,684.4,2325394,4655,0.68
Tapioca,Whole Year,Madurai,2769,1078.1,1132263,831,30.42
Turmeric,Kharif,Namakkal,13236,1187.7,1186347,2942,5.11
Chickpea,Rabi,Kodaikanal,6780,970.7,970659,671,0.65
Chilli,Kharif,Salem,7566,511.0,1722611,6881,1.0
Chilli,Rabi,Rajapalayam,7613,675.8,701215,2876,1.19
Chilli,Kharif,Theni,9384,1207.2,649228,9692,1.61
Tapioca,Whole Year,Namakkal,6218,841.4,934884,3409,22.01
Turmeric,Kharif,Madurai,1803,1211.0,449668,3111,5.24
Coconut,Whole Year,Salem,27990,1268.2,1311345,1916,7.73
Maize,Kharif,Karur,4134,990.0,938075,4171,1.79
Sesame,Kharif,Theni,9319,880.4,703850,2871,0.44
Maize,Rabi,Dindigul,39322,588.3,1421027,10041,1.7
Chilli,Kharif,Rajapalayam,3115,990.1,1062338,4180,1.71
Groundnut,Rabi,Theni,5726,1276.9,2273171,6607,2.22
Pomegranate,Whole Year,Attur,3841,758.3,1106631,2588,7.77
Sugarcane,Whole Year,Kodaikanal,20709,1325.8,2379889,9070,52.21
Sorghum,Kharif,Palani,2157,1142.2,536854,1460,1.17
Sorghum,Kharif,Theni,11801,597.2,909128,4073,0.76
Sugarcane,Whole Year,Palani,6865,1362.9,2051736,6348,36.2
Millet,Kharif,Theni,17131,1029.7,519446,1484,1.29
Millet,Kharif,Virudhunagar,26335,725.5,2380988,5087,1.53
Tapioca,Whole Year,Karur,25548,613.5,1683581,6230,28.51
Coconut,Whole Year,Kodaikanal,39916,1049.0,3371824,8368,5.96
Coconut,Whole Year,Kodaikanal,22930,1220.2,2155989,5957,5.61
Millet,Kharif,Rajapalayam,6032,562.3,582005,1159,0.62
Chickpea,Rabi,Madurai,12342,717.1,502184,3103,0.58
Coffee,Whole Year,Karur,522,944.0,695628,179,1.04
Maize,Kharif,Theni,43642,1415.4,1362104,6906,3.49
Chilli,Rabi,Dindigul,1152,883.7,732032,990,1.19
Maize,Kharif,Theni,23696,1030.8,2183151,4073,2.33
Millet,Kharif,Madurai,12813,610.2,1197465,614,1.11
Maize,Kharif,Theni,2282,1027.5,423833,2530,1.89
Maize,Rabi,Karur,48947,838.2,3679358,3111,2.36
Banana,Whole Year,Attur,32080,1241.0,4628993,9726,31.57
Mango,Whole Year,Sivakasi,39644,592.1,3802781,9373,6.46
Sorghum,Rabi,Salem,10711,409.3,821162,1330,0.71
Sorghum,Kharif,Salem,19891,612.1,2014353,5694,1.43
Pomegranate,Whole Year,Madurai,1198,454.4,183629,1205,7.89
Mango,Whole Year,Namakkal,16904,825.9,576872,2078,5.4
Greengram,Kharif,Dindigul,4043,642.6,412809,422,0.58
Millet,Kharif,Madurai,18169,617.3,1565760,5151,0.85
Sesame,Kharif,Attur,3807,570.7,238282,1263,0.51
Tapioca,Whole Year,Karur,13906,1007.3,1873277,5080,31.43
Papaya,Whole Year,Theni,6484,1055.1,581491,423,17.31
Coffee,Whole Year,Theni,2324,1581.2,408422,3559,0.82
Sorghum,Rabi,Karur,2734,483.4,939917,1437,1.1
Pomegranate,Whole Year,Sivakasi,3384,368.0,710092,3477,5.73
Greengram,Kharif,Dindigul,8383,502.1,543136,254,0.38
Chilli,Kharif,Sivakasi,6701,546.7,1678841,4663,1.97
Groundnut,Rabi,Kodaikanal,50238,941.1,4243671,4117,1.8
Rice,Rabi,Namakkal,75194,1213.4,4237057,27303,1.62
Groundnut,Rabi,Virudhunagar,26135,902.8,3685620,7738,2.55
Coconut,Whole Year,Dindigul,6984,743.7,1595240,1839,7.28
Sorghum,Kharif,Kodaikanal,4669,697.7,327072,1412,1.35
Turmeric,Kharif,Kodaikanal,13128,1442.8,2918552,2346,6.18
Rice,Rabi,Namakkal,78273,918.7,6484949,26829,3.1
Mango,Whole Year,Rajapalayam,36956,679.5,4687521,4617,7.0
Turmeric,Kharif,Dindigul,7564,1142.8,2523846,1004,6.3
Sorghum,Rabi,Palani,3626,822.2,152939,2130,1.24
Sesame,Kharif,Karur,4884,766.5,368047,692,0.28
Sorghum,Rabi,Virudhunagar,17744,697.7,1206210,2878,1.01
Mango,Whole Year,Kodaikanal,11480,1005.9,1796869,2696,7.5
Greengram,Kharif,Attur,13911,575.5,257853,3515,0.48
Mango,Whole Year,Sivakasi,33079,555.3,2178395,10671,4.65
Chilli,Kharif,Madurai,6190,789.7,2198736,3394,0.99
Groundnut,Rabi,Madurai,6156,549.8,662951,3217,0.73
Groundnut,Rabi,Sivakasi,31420,535.0,2408654,8357,1.89
Rice,Rabi,Theni,13064,1325.2,1037310,4941,1.68
Tapioca,Whole Year,Sivakasi,5568,914.2,1005244,2104,16.45
Chilli,Kharif,Dindigul,5758,911.5,629135,6828,1.48
Coconut,Whole Year,Attur,49450,854.8,1831754,8677,7.48
Turmeric,Kharif,Karur,3610,1332.5,979122,1632,4.88
Cotton,Kharif,Salem,37197,696.5,1959807,6653,1.5
Sesame,Kharif,Attur,3736,472.8,238413,1080,0.29
Greengram,Kharif,Attur,12177,685.6,963334,3050,0.46
Banana,Whole Year,Theni,21893,1514.1,2317502,6055,31.21
Mango,Whole Year,Attur,14435,729.4,1101895,5096,2.18
Greengram,Kharif,Sivakasi,11786,533.6,1226979,445,0.74
Cotton,Kharif,Sivakasi,11818,904.7,1697153,2002,1.51
Sorghum,Rabi,Salem,14588,724.0,876673,3286,1.08
Rice,Kharif,Theni,77538,1333.9,5400498,7899,1.43
Papaya,Whole Year,Theni,5748,1048.5,1176975,6649,38.55
Banana,Whole Year,Palani,6084,1560.5,2960753,7408,16.2
Sugarcane,Whole Year,Salem,64309,1195.2,9921805,25373,47.82
Coconut,Whole Year,Salem,8448,1260.2,1279760,2712,6.02
Pigeonpea,Kharif,Salem,1660,780.5,217124,621,0.73
Pigeonpea,Kharif,Attur,9276,769.0,757992,2032,0.38
Maize,Rabi,Rajapalayam,40365,596.9,4198269,8855,2.99
Coffee,Whole Year,Karur,2429,1215.2,1019519,584,0.9
Greengram,Kharif,Madurai,12272,590.2,1175406,100,0.7
Rice,Kharif,Attur,57108,1133.0,3967604,8401,1.17
Coffee,Whole Year,Madurai,2651,1572.1,902771,3129,0.42
Papaya,Whole Year,Kodaikanal,3168,1494.0,513282,2459,19.72
Sugarcane,Whole Year,Dindigul,95101,1054.4,12237969,16105,75.75
Sesame,Kharif,Madurai,5508,464.8,399052,131,0.52
Tapioca,Whole Year,Sivakasi,4929,844.7,1416257,2744,24.35
Greengram,Kharif,Kodaikanal,9625,671.3,1063267,1187,0.83
Chickpea,Rabi,Dindigul,13390,769.5,1373566,3673,0.83
Pomegranate,Whole Year,Theni,2315,1056.0,297224,2494,9.52
Millet,Kharif,Kodaikanal,8940,887.6,846192,3041,1.66
Coffee,Whole Year,Kodaikanal,2435,1266.2,1192030,1213,1.07
Mango,Whole Year,Dindigul,17342,870.1,1564020,2658,4.66
Sesame,Kharif,Madurai,6567,772.4,666921,1686,0.35
Tapioca,Whole Year,Sivakasi,28938,825.6,2463570,1906,17.35
Sesame,Kharif,Madurai,1505,662.0,305702,341,0.74
Turmeric,Kharif,Kodaikanal,13862,1312.8,1177235,7250,5.84
Chickpea,Rabi,Attur,16032,639.5,406936,1792,0.67
Coffee,Whole Year,Theni,218,1115.5,356945,401,0.97
Chickpea,Rabi,Rajapalayam,1261,728.9,519885,1426,0.77
Maize,Kharif,Kodaikanal,29709,1272.2,2797074,9593,2.48
Millet,Kharif,Sivakasi,3149,557.4,427318,661,0.79
Maize,Kharif,Theni,45422,1358.1,2664380,13357,2.24
Sesame,Kharif,Rajapalayam,7455,683.4,678309,1212,0.48
Papaya,Whole Year,Karur,6514,1212.9,1317400,5201,41.94
Turmeric,Kharif,Karur,7164,915.8,903361,5346,2.9
Millet,Kharif,Dindigul,9519,743.4,570031,2055,0.88
Pomegranate,Whole Year,Attur,2460,643.7,378230,1055,6.28
Sugarcane,Whole Year,Theni,47040,1506.5,9339908,6896,67.67
Sesame,Kharif,Namakkal,4583,599.9,630883,2129,0.51
Pomegranate,Whole Year,Palani,181,598.7,484757,2557,4.68
Mango,Whole Year,Theni,36208,900.0,4270743,5525,8.86
Pomegranate,Whole Year,Karur,1316,375.8,277149,880,7.96
Coffee,Whole Year,Attur,4153,1049.9,372391,2928,1.3
Banana,Whole Year,Virudhunagar,7636,1112.6,1893621,3077,22.97
Sesame,Kharif,Theni,5268,828.6,604115,2696,0.66
Pigeonpea,Kharif,Theni,1734,1183.5,256484,100,0.69
Coconut,Whole Year,Sivakasi,28425,681.2,2481007,6823,5.56
Cotton,Kharif,Attur,43584,520.5,3313632,14309,1.71
Blackgram,Rabi,Attur,19439,803.8,308606,1488,0.41
Maize,Kharif,Namakkal,30740,1059.9,2573651,9281,1.95
Sorghum,Kharif,Virudhunagar,20514,771.2,1629272,3291,1.51
Banana,Whole Year,Attur,32049,1293.7,1757067,13638,30.43
Coconut,Whole Year,Namakkal,13424,750.6,2142641,1880,3.91
Maize,Rabi,Virudhunagar,35671,640.7,2218152,8634,1.79
Pomegranate,Whole Year,Sivakasi,2515,556.2,661591,1992,4.13
Pomegranate,Whole Year,Dindigul,4819,663.9,1255411,1519,6.17
Coconut,Whole Year,Palani,33867,966.8,3212047,9358,6.07
Maize,Rabi,Karur,12656,591.5,999811,3154,2.13
Pomegranate,Whole Year,Rajapalayam,4024,496.5,1160669,1103,6.35
Sugarcane,Whole Year,Theni,23405,1188.0,3448272,22112,61.53
Papaya,Whole Year,Madurai,1547,1281.1,686629,3622,28.39
Blackgram,Rabi,Dindigul,2946,660.4,612841,2372,0.8
Pigeonpea,Kharif,Dindigul,806,842.0,288714,1304,0.35
Pigeonpea,Kharif,Rajapalayam,7659,604.3,312109,2634,0.42
Tapioca,Whole Year,Attur,26476,702.9,1231206,8237,17.67
Tapioca,Whole Year,Namakkal,18620,1056.2,1169709,3331,17.6
Millet,Kharif,Virudhunagar,19516,615.8,1289854,2982,1.2
Coffee,Whole Year,Salem,504,1488.6,171302,1846,1.35
Coffee,Whole Year,Attur,1657,889.5,398275,3226,0.53
Millet,Kharif,Theni,14712,1037.8,1933713,3323,0.8
Sesame,Kharif,Attur,5601,441.8,671305,642,0.3
Banana,Whole Year,Palani,39012,1340.0,4901379,15684,36.6
Blackgram,Rabi,Salem,5465,599.3,227065,1236,0.5
Sorghum,Rabi,Rajapalayam,24445,807.1,1481192,5972,0.61
Cotton,Kharif,Dindigul,36335,731.5,1845583,11372,1.41
Maize,Rabi,Rajapalayam,33516,989.3,3469054,2241,3.37
Maize,Kharif,Virudhunagar,46260,612.5,2167226,3173,1.75
Rice,Rabi,Kodaikanal,23719,1690.7,2988525,10855,3.01
Papaya,Whole Year,Kodaikanal,7274,1271.1,1289283,5125,33.55
Tapioca,Whole Year,Theni,11050,1030.5,1377477,2461,24.34
Sugarcane,Whole Year,Sivakasi,46145,1291.9,5395170,22579,40.4
Banana,Whole Year,Madurai,22260,953.1,3952743,5175,22.21
Pigeonpea,Kharif,Rajapalayam,3113,634.7,426605,309,0.72
Chilli,Rabi,Palani,7960,841.9,1427706,3977,2.68
Pigeonpea,Kharif,Sivakasi,10289,637.0,839058,3035,0.4
Greengram,Kharif,Palani,10289,942.8,1022560,2312,0.63
Coffee,Whole Year,Salem,4945,1265.0,649264,5644,1.65
Sorghum,Kharif,Madurai,14588,496.6,1219473,4483,0.39
Greengram,Kharif,Virudhunagar,5064,634.8,723352,681,0.45
Pomegranate,Whole Year,Salem,830,761.1,454316,2150,8.89
Blackgram,Rabi,Madurai,11556,877.3,1464295,2517,0.37
Groundnut,Rabi,Sivakasi,37955,901.3,1509994,8586,1.31
Banana,Whole Year,Karur,41954,1099.1,2640383,7000,16.26
Maize,Kharif,Namakkal,28168,613.5,2969137,2371,2.17
Millet,Kharif,Theni,2745,937.3,510911,158,1.66
Coffee,Whole Year,Salem,3555,1146.0,1126731,4142,0.85
Pigeonpea,Kharif,Madurai,8980,972.4,258018,965,0.52
Groundnut,Rabi,Karur,57806,663.9,5340069,17907,2.3
Chickpea,Rabi,Karur,13478,792.8,1287417,1681,0.66
Pomegranate,Whole Year,Karur,3744,789.3,362252,2554,4.89
Chilli,Rabi,Madurai,4305,742.6,953048,6050,1.31
Tapioca,Whole Year,Attur,7669,844.8,1055148,3641,26.61
Millet,Kharif,Karur,23207,530.5,585906,2183,0.59
Sesame,Kharif,Salem,742,449.2,260699,100,0.51
Chilli,Rabi,Salem,3645,708.7,1214742,4194,1.86
Chilli,Kharif,Madurai,7937,961.4,2233600,4882,1.96
Greengram,Kharif,Virudhunagar,1167,615.6,124892,376,0.72
Turmeric,Kharif,Rajapalayam,12133,1237.9,3074201,8667,7.05
Banana,Whole Year,Palani,2787,1310.7,1632206,4989,28.48
Chickpea,Rabi,Theni,492,854.6,556293,1425,0.5
Papaya,Whole Year,Sivakasi,4944,1065.0,1413433,2735,38.56
Coconut,Whole Year,Virudhunagar,48821,1243.8,2907111,8235,10.13
Coffee,Whole Year,Palani,3701,1207.8,266170,1775,0.63
Rice,Kharif,Namakkal,30409,1025.7,4126117,16480,1.29
Blackgram,Rabi,Attur,16147,713.9,1594320,3687,0.37
Chickpea,Rabi,Dindigul,14848,754.6,277836,2246,1.02
Pomegranate,Whole Year,Virudhunagar,2900,558.5,413616,545,2.86
Sugarcane,Whole Year,Rajapalayam,62216,1094.9,3911592,20003,53.95
Millet,Kharif,Rajapalayam,14119,577.9,347739,1717,0.47
Cotton,Kharif,Attur,59621,857.7,6031391,9593,2.02
Millet,Kharif,Kodaikanal,14140,766.1,924693,2133,1.45
Blackgram,Rabi,Palani,8628,1012.7,859952,2998,0.68
Banana,Whole Year,Dindigul,14681,1237.2,2775901,7353,23.42
Cotton,Kharif,Attur,66172,674.2,3478899,16378,1.43
Sesame,Kharif,Palani,1295,784.9,273141,1209,0.37
Chilli,Kharif,Salem,1141,957.2,776026,1908,2.46
Groundnut,Kharif,Virudhunagar,57708,777.6,2320184,19452,1.17
Groundnut,Kharif,Theni,59559,1107.3,4483356,11681,2.31
Pigeonpea,Kharif,Palani,8601,1074.0,413708,2563,0.59
Rice,Rabi,Attur,59927,1184.9,3798794,7057,2.2
Sesame,Kharif,Rajapalayam,8534,547.9,494470,2823,0.39
Rice,Rabi,Virudhunagar,14915,899.1,1691251,5391,2.0
Groundnut,Kharif,Theni,48180,889.8,3877583,16570,2.53
Banana,Whole Year,Salem,48671,1384.1,3538286,5773,35.15
Coconut,Whole Year,Virudhunagar,5942,1169.2,560543,1724,7.64
Coconut,Whole Year,Rajapalayam,15136,928.3,1102630,7008,7.99
Banana,Whole Year,Madurai,2870,1331.1,1363371,6925,21.45
Mango,Whole Year,Madurai,547,853.9,508101,1742,4.99
Sugarcane,Whole Year,Attur,3241,1182.7,3380247,4622,49.24
Rice,Rabi,Virudhunagar,34349,1133.1,4609674,11223,3.14
Chickpea,Rabi,Theni,8609,1031.3,120361,3253,0.59
Sesame,Kharif,Kodaikanal,495,980.5,217697,1102,0.51
Papaya,Whole Year,Dindigul,7586,1020.3,1557571,2958,20.69
Sugarcane,Whole Year,Attur,6808,1376.3,3732092,12462,56.99
Sugarcane,Whole Year,Attur,32389,1282.3,4895485,8773,59.5
Coconut,Whole Year,Salem,23178,1133.2,1956165,4969,9.04
Tapioca,Whole Year,Virudhunagar,12492,995.1,745348,5901,28.57
Tapioca,Whole Year,Salem,917,914.7,407081,889,17.97
Pomegranate,Whole Year,Dindigul,4305,699.9,1320884,3170,9.57
Groundnut,Rabi,Palani,35026,983.6,3920953,14513,1.72
Blackgram,Rabi,Namakkal,12409,606.9,875041,2697,0.9
Blackgram,Rabi,Madurai,13500,856.5,339214,3296,0.36
Pigeonpea,Kharif,Sivakasi,11027,869.6,674201,2008,0.87
Groundnut,Kharif,Kodaikanal,47078,1172.9,2523393,17072,2.06
Turmeric,Kharif,Sivakasi,13807,781.9,3742366,5718,3.49
Tapioca,Whole Year,Rajapalayam,6368,935.8,1142892,2072,17.45
Coffee,Whole Year,Kodaikanal,4529,1242.9,1613981,4999,0.94
Coffee,Whole Year,Virudhunagar,2842,1203.0,1218244,2672,0.6
Mango,Whole Year,Virudhunagar,6713,727.4,1199766,4673,2.65
Coffee,Whole Year,Attur,4887,1098.5,1189736,969,0.96
Cotton,Kharif,Sivakasi,50670,672.6,3331687,5094,1.13
Chilli,Kharif,Madurai,3856,562.5,938857,2462,2.3
Pomegranate,Whole Year,Namakkal,2473,611.5,275881,2136,6.14
Banana,Whole Year,Madurai,26899,1194.8,1792703,8031,24.58
Millet,Kharif,Kodaikanal,13681,1045.2,912649,1454,0.95
Millet,Kharif,Dindigul,9439,877.1,815007,1834,1.71
Blackgram,Rabi,Namakkal,5055,731.1,926946,1678,0.6
Coffee,Whole Year,Virudhunagar,1014,1006.1,238426,2582,1.15
Coconut,Whole Year,Dindigul,37533,1273.8,3182338,2748,7.12
Cotton,Kharif,Theni,35609,1140.5,5035602,14078,1.87
Millet,Kharif,Dindigul,29753,642.7,1262428,3076,0.78
Coffee,Whole Year,Karur,1789,1367.7,1024088,1758,1.6
Chilli,Kharif,Kodaikanal,3759,869.3,847326,4895,2.48
Coconut,Whole Year,Palani,21709,1408.0,2511616,2660,9.28
Pomegranate,Whole Year,Sivakasi,2355,555.8,670151,1555,6.72
Sorghum,Kharif,Madurai,13487,582.4,480315,1580,0.73
Coconut,Whole Year,Salem,56212,1309.1,3210433,12675,9.72
Banana,Whole Year,Kodaikanal,20345,1106.5,3939964,14145,30.55
Cotton,Kharif,Attur,39855,840.2,4363256,4959,1.88
Cotton,Kharif,Madurai,55461,892.9,2760821,7288,1.1
Sorghum,Rabi,Salem,18117,467.3,1206433,3652,0.95
Sugarcane,Whole Year,Salem,3216,1401.6,1850789,10517,55.38
Papaya,Whole Year,Karur,5746,937.1,798039,4589,16.56
Coconut,Whole Year,Karur,29558,767.4,1583722,4725,5.94
Millet,Kharif,Salem,22358,636.7,695832,2565,0.6
Sugarcane,Whole Year,Palani,72794,1586.0,4875701,27648,61.28
Greengram,Kharif,Kodaikanal,11008,818.5,222237,1908,0.78
Chickpea,Rabi,Karur,11268,859.7,498664,2680,0.41
Sugarcane,Whole Year,Kodaikanal,49694,1606.7,5724521,22087,61.32
Maize,Kharif,Namakkal,33532,816.1,2666684,11219,1.55
Cotton,Kharif,Theni,30093,1041.4,3988802,10584,2.13
Sorghum,Rabi,Palani,14383,740.1,1385436,4134,1.41
